OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
OSCAR 7 (AO-7),1974-089B,2024-12-31T23:00:45.972288,12.53684506,0.0012384,101.9905,3.5441,67.1464,307.9019,0,U,7530,999,29382,0.00011122,-2.9e-07,0.0,7827.25835686908,Amateur Radio
AEROCUBE 8D,2016-067E,2024-12-31T23:18:03.563712,15.13563753,0.0004699,98.1099,187.8853,147.5362,212.6157,0,U,41852,999,44525,0.0010781,0.00019303,0.0,6903.479330665541,CubeSat
ORBCOMM FM02,1995-017B,2024-12-31T16:05:00.201408,14.86478949,0.0007531,69.9664,150.5116,238.6489,121.3927,0,U,23546,999,58722,0.0027796,0.00024635,0.0,6987.08455824391,Orbcomm
SINOD-D 1,2015-058E,2024-12-31T14:13:55.047936,14.88735088,0.0174513,64.7772,119.1796,243.9381,114.3677,0,U,40968,999,3715,0.0015037,0.00018637,0.0,6980.023611720798,CubeSat
PERSEUS-M2,2014-033AD,2024-12-31T21:07:43.113504,14.92491894,0.0011128,97.943,298.763,262.7127,97.2827,0,U,40037,999,57129,0.00058318,5.935e-05,0.0,6968.305576940253,CubeSat
AEROCUBE 4.5B,2012-048L,2024-12-31T19:00:57.813120,15.602712,0.0058234,64.6437,295.8758,305.5741,53.9983,0,U,38768,999,29182,0.0021886,0.00199707,0.0,6765.010056159204,CubeSat
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat
ROBUSTA-3A (MEDITERRANEE),2024-128J,2024-12-30T18:05:23.034048,15.00669781,0.0031607,61.991,279.6135,9.7768,350.393,0,U,60243,999,2605,0.0016749,0.00021396,0.0,6942.966714016182,CubeSat
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,0.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,0.0011367,0.00012228,0.0,6964.503153209536,CubeSat
NETSAT-3,2020-068V,2024-12-31T15:50:59.659008,15.22447064,0.0010117,97.8283,329.74,57.3725,302.8485,0,U,46505,999,23412,0.0011768,0.00027264,0.0,6876.599119771099,CubeSat
